Newsletter Name,Website URL,Category,Collections,Author,Author Profile,Comment
Privacat Insights,https://insights.priva.cat/,AI & Machine Learning,SWAI,Carey Lening,Carey Lening,tests external site with few posts
Exponential View (Azeem Azhar),https://www.exponentialview.co/,AI & Machine Learning,SWAI,Chantal Smith,Chantal Smith,tests filtering on author name
Code Like A Girl,https://codelikeagirl.substack.com,Software,SWAI,Code Like A Girl,Dinah,
Everyday Ethical AI, https://karensmiley.substack.com,AI & Machine Learning, SWAI,,Karen Smiley,Tests non-matching on author name
6 'P's in AI Pods, https://sixpeas.substack.com, AI & Machine Learning, SWAI,Karen Smiley,Karen Smiley,this and next test multiple author names for newsletter
6 'P's in AI Pods, https://sixpeas.substack.com, AI & Machine Learning, SWAI,Lakshmi Veeramani,Lakshmi Veeramani,
Women Writin' 'Bout AI,https://womenwritinboutai.substack.com,AI & Machine Learning,SWAI,Women Writin' 'Bout AI,Kimberly Becker,this and next test duplicate author names for newsletter
Women Writin' 'Bout AI,https://womenwritinboutai.substack.com,AI & Machine Learning,SWAI,Women Writin' 'Bout AI,Jessica Parker,
The Scenarionist,https://www.thescenarionist.com,Science & Research,SWAI,"Giulia Spano, PhD","Giulia Spano, PhD",
@Jasmine,https://jasmi.news,AI & Machine Learning,SWAI,Jasmine Sun,Jasmine Sun,tests non-ASCII char in newsletter name
Sarah Seeking Ikigai,https://www.seekingikigai.online,AI & Machine Learning,SWAI,Sarah Seeking Ikigai,Sarah Seeking Ikigai,
Ann Smarty's Search & #AI Digest,https://www.annsmarty.com,AI & Machine Learning,SWAI,Ann Smarty,Ann Smarty,
AI for Families,https://www.aiforfamilies.com,AI & Machine Learning,SWAI,Shannon Edwards,Shannon Edwards,
Decoding Discontinuity,https://www.decodingdiscontinuity.com,AI & Machine Learning,SWAI,Raphaëlle d'Ornano,Raphaëlle d'Ornano,tests unicode in person name
TechSips with Nadina: The Newsletter,https://techsips.nadinalisbon.com,Technology,SWAI,Nadina Dorene Lisbon,Nadina Dorene Lisbon,tests partial match on person name
Gray Matters,https://maggiegray.us,AI & Machine Learning,SWAI,Maggie Gray,Maggie Gray,
Eleanor on Everything,https://everything.intellectronica.net,AI & Machine Learning,SWAI,Eleanor Berger,Eleanor Berger,
